key,value
Indicator,92
Generator,160
Stub,67
Test,4191
Widget,54
Service,686
Dao,38
Job,42
Binder,41
Base,130
Decoder,90
Pool,52
Proxy,66
Task,397
Bar,109
Thread,86
Value,77
Patch,52
Receiver,275
Animator,139
Layer,62
Interceptor,68
Utils,1161
Loader,418
Operation,147
Event,178
Provider,398
Storage,55
Application,166
State,131
Entity,77
Type,187
Method,68
Listener,547
Controller,247
Key,73
Interface,70
Configuration,61
Holder,263
Adapter,1766
Constants,121
Info,238
Class,59
Target,81
Algorithm,54
Settings,125
List,210
Builder,251
Validator,50
Command,85
Delegate,79
Behavior,69
Property,60
Options,81
Stream,136
Image,51
Parser,278
Api,70
Result,132
Message,117
Compat,140
Transformer,55
Object,79
Group,63
Cache,155
Wrapper,134
Handler,362
Reader,162
Span,66
Detector,85
Config,143
Drawable,185
Store,84
Tests,276
Page,48
Data,142
Response,123
Exception,292
Converter,53
Column,93
Contract,40
Filter,125
Callback,132
Connection,69
Client,264
Dialog,349
Action,98
Set,60
Helper,854
Creator,59
Text,120
Source,165
Header,57
Renderer,87
Layout,412
Menu,55
Writer,56
Factory,366
Strategy,51
Content,46
Animation,102
Logger,92
Map,58
Fragment,2509
Util,408
other,13016
Preference,170
Resolver,117
Pager,56
Case,56
Resource,73
Comparator,46
Button,130
Request,241
Item,314
Rule,71
Context,90
Activity,4280
Model,233
Processor,137
Impl,219
View,1581
Picker,70
Extractor,87
Presenter,217
Runner,66
Inflater,62
Module,184
Player,83
Manager,750
File,69
Table,110
