key,value,
,,
c98395a5b7021283e40a6015782a410d100ce78b,6,61410
,,278209
fcafd6fecdc2ecc5f05a08085c7469c1e538c885,7,4.530353363
,,600
3a4af1081b8910c6c603a4a56a0fef54ea77840a,1,0
,,
d3796790eb8d9329a84b3f0fe4100c3e5542778d,3,
,,
fde5f1ad919895feea4315b92ab0da5f9c0cffa4,5,
,,
39e6bbd178ac61d46d4fc3a730e7ffe8dc7b6e1a,1,
,,
ce150e808a91f5e6652eaaf692945cbef3b56b76,2,
,,
418103af818a1001656d1290921d729e97591857,2,
,,
2e0435d95885db89d931064b686b76e781920f62,3,
,,
f38e41ca20dcb7301cf7f7ca8990e7bab65e2364,4,
,,
2b69b70d7cb2a1c67b527f094820fb3497a3709f,0,
,,
44b37449aada811f44239d509c4cb85b982eb064,1,
,,
43ce1b001ccaf1491cf56b53f21895c2221c2f29,7,
,,
15187099f183e339867df420d53ad10fd0d0c445,1,
,,
08c13e9d1a897226a9f05f81e30338fb29e96196,1,
,,
5e447f8c0a9acbb4ad27ce33d05da647b88ba8e4,1,
,,
aba35ecf695427e440c89778c9b6eb3514895000,5,
,,
9551537718c191a829fd285890833225c023203d,1,
,,
1e8132c8d1825b8d3c329047cca4302c6a36a773,1,
,,
9a36b3508fc2c5f6fe259a86f8af8ed25a326982,3,
,,
53023daeee7989ac304a669002273b537c492ea1,1,
,,
6e98b4f77229d64f53137ef9e47c296357bfa85c,1,
,,
b42378a113be372b4ded6f4ffb306cc869a30885,1,
,,
7aa9ad557c82c2cef492a7b0bb703d4ca6f90cb9,1,
,,
42434786d1ccc3e1004d01848b91029feb9fc70a,1,
,,
d440b3a40c51389018318bdaffed7bb13dacbebc,4,
,,
559e993e4206f5416be91567203fb60062816b0a,3,
,,
0280c4fab33942d812b9c6606fb083f2849e0641,1,
,,
84ba33899ae05147fc1f6487b72a1025e9299156,1,
,,
8dcea419b140c1e6dc2ae2ffb36ef7178cc50116,1,
,,
9dcd92548b8da4dd38f4e268c6c8d710067120b4,1,
,,
5504d4b115be37234c000ecc214fe892720098d1,2,
,,
43224fc396ca3e05713ab6740488220756a28542,4,
,,
738e2b38289c4b62450d0365e9127f1ac1fb2bbe,1,
,,
4ec65fe59b8835c175decc9d1ebbac617a592c07,1,
,,
3443c2066aab2cc2215c6ae8e57c9a14cf719115,1,
,,
0bcd12561a8f955bb68168d638d176fa9dae4f81,5,
,,
2a9e32d83c3f51a5ba7ba1d5bd2e2fcf1edbf9e9,7,
,,
dc551fc6cc20288e757ef60c92adaf5dfbb2db85,2,
,,
17d867777033972c306149c1cdab728d1b9b2dad,1,
,,
359fbbc76fbe4c6e0de1954fc68034251ad98ded,1,
,,
1e5dd77e83e3d2ab4d2862a487e73c9342c2e32e,2,
,,
9f9b6aab624a77fd456a09886e2040b9f668cfb4,2,
,,
65da538a15b78b143b21035312b789648818749e,1,
,,
bfa0c255c62e8e48174cba95ecb369123312404d,5,
,,
41b4c4774be5e4e7485c60ae07732fe40e14eddd,1,
,,
941c56f10071d7c7f17ebfefb42c00f346525540,4,
,,
41fb891a1caf03b505205205e7054d132a319506,5,
,,
14a92b8454a54f4041469bcb0ceb640e7cdfb025,8,
,,
8fc0c072e54e95d34d3d550d1e648b1b203f11f3,1,
,,
fbd93c8868390ecdefbb2a7fefd79368613ff4d4,1,
,,
181a0b22fbaeded3e33d09cd625fbee812a66fec,4,
,,
86547441cdc8e6fe77a364692122140ecaaf9a4d,1,
,,
6fe82549a642dd99afb14f712ccefdd268764eee,7,
,,
59480b8369cfb10353eb0e6553fd7a1f46cb6f4b,1,
,,
1788e487a4fd2e976291ff424e4a2869acd20736,1,
,,
7654cd54fbba9fa6ecaf47f5ffc5fc21669d6e56,3,
,,
e8120377bc2cf7cf6eafc70bf3a3d2683c993cc1,4,
,,
a997ac26664befbd0d5b172e36ef9e8b2c63b435,1,
,,
f309f5dadd3f2f7fe24b3bd6eceeee08f6614b3c,6,
,,
acc857730c60199866a4c99efbd0a01484f34d03,2,
,,
b44d03554402d6a02407c320108bc79f030f9a3f,4,
,,
be9093426aec3a6d412811a12d2400e645613242,2,
,,
4bfc9aa1410fb9d0a0b2801409d8934101382dc3,3,
,,
77eb67457870b24727bd7afc244481e0528844b1,1,
,,
c82444b3340a5058f095cc620e7969c9fd4b16a9,1,
,,
140d20af3b95b1cc257523456c22e714b3d72957,10,
,,
0dedc142c32238b3919319ea5e08d778cfdb5cca,1,
,,
4328e0c8665273341934eeb4ec826a3ed926a6d6,1,
,,
9bdaeb340bbd9603bb9cc0782ac56e8935d82a4f,1,
,,
9631db4c8dda527a14f669d0b81e643071f56dc1,1,
,,
909c93d0d3f51ae5d1818ab08c749d122d46dc47,1,
,,
33b896a001b6920e61ad86975e0c2666240b05ff,1,
,,
07e4b3f16d778404e78e400ffdad670a7e364113,1,
,,
2bcdbf8201c7bfe233aa2ee80398003767971e6a,1,
,,
8fc957a56bff5256dc4396915e5557adc810610e,1,
,,
b1e9e8d662d3e6c945c817d09270c799b62b4af3,2,
,,
89ea575dcd39931e2174c356409a41cc2de4289e,3,
,,
6f818b6358c9fd9357b997d5a01b90c337298ded,1,
,,
adcc8dc27d0c5ade450661b791c54b5f559aefe4,1,
,,
27524452b707e744ccebbef1ef0c0aade6dba9a2,2,
,,
c7b588d9cf3e6b3a7ffb9f5312d713f7a6e6950b,1,
,,
2486e410779bb0817fc28ae7ce7086c223f1cd92,2,
,,
fc93180fb22e9ef8f32a5f15900f2b12337d26e6,2,
,,
382ee817f9cfcb637440a85c3dbb2e2bb40db3ed,4,
,,
827018c6d92a55120769c7c663bbf294f0449dd9,1,
,,
7a065a9fdc79e675510b19a456caaf5ee1af336d,1,
,,
c748b3e89696db07c0c4baa995184f6fdf2925f9,1,
,,
6dec3bfba3201cad7bbb3739f3ce9cc818a09f73,3,
,,
806ebfcfec9f2ff3d969eb75e087c782e6a8bdfa,5,
,,
e913ede77e65cfbea63426ef35005c740048e783,1,
,,
