key,value
document-viewer/jni/mupdf/Makefile,1
gitmodules,15
atlas-gradle-plugin/atlas-plugin/src/main/resources/aapt/mac/aapt,1
assets/x86/xposedtest_sdk15,1
csproj,10
gz,1
src/fat/play/pt-PT/listing/fulldescription,1
bin/milkrun,1
mp4,5
osm,1
mp3,2
app/src/main/res/values-id,1
ext/golang/go,1
assets/x86/xposedtest_sdk16,1
src/fat/play/pt-PT/listing/shortdescription,1
res/raw/ip6tables_mips,1
ts,7
res/raw/iptables_arm,1
properties~,1
0,1
app/src/main/res/values-iw,1
src/fat/play/hu-HU/listing/title,1
debian/changelog,1
document-viewer/jni/jpeg/configure,1
demo-simple/test/created_to_please_maven,1
sdks/GithubReborn,1
vendor/qark,1
assets/app_process,1
app/src/main/jni/librime,1
libs/wpcomrest/LICENSE-MIT,1
res/raw/ip6tables_x86,1
assets/arm/busybox-xposed,1
list,1
res/raw/change_log,1
src/fat/play/hu-HU/listing/shortdescription,1
AUTHORS,2
app/src/main/res/raw/truststore,1
THANKS,1
glsl,15
src/fat/play/defaultLanguage,1
odp,2
cfg,27
Makefile,7
document-viewer/jni/jpeg/libtool,1
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/xkmxuvDKZrQrXpc5B65P3OcVql4=,1
app/src/main/assets/arm/busybox-xposed,1
aFWall/src/main/res/raw/busybox_x86,1
src/fat/play/da-DK/listing/title,1
res/raw/klogripper_mips,1
gitattributes,4
Resources/graphics/ic_launcher/AUTHORS,1
sub,2
jni/librime,1
buildSrc/src/main/resources/com/uber/okbuck/core/util/lint/LINTW_TEMPLATE,1
Application/build/intermediates/incremental/debug-mergeJavaRes/merge-state,1
old/examples/android-example/README,1
assets/arm/xposedtest_sdk15,1
template,2
OpenKeychain/src/test/resources/openpgp-interop,1
src/fat/play/da-DK/listing/fulldescription,1
deps,1
tags,1
component,1
Rakefile,1
libs/graphview/doc/package-list,1
MD,12
MF,2
buckversion,2
fontpack-sources/SOURCES,1
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/yIZN2qw3AX1fHimQCjyQT_P4vco=,1
src/main/play/en-GB/whatsnew,1
MVP_generator_solution,1
onebusaway-android/src/main/res/raw/embedded_social_config,1
xabber/MemorizingTrustManager,1
run_tests,1
src/fat/play/en-UK/listing/fulldescription,1
aFWall/src/main/res/raw/nflog_arm,1
ipr,1
unix,1
marker,3
fastlane/Screengrabfile,1
assets/host/reader_list,1
ap_,17
app/src/main/res/raw/change_log,1
aFWall/src/main/res/raw/busybox_arm,1
app/src/main/assets/x86/app_process_xposed_sdk19,1
6-java/README,1
txt~,1
extern/AndroidBootstrap,1
ownCloud-Account-Importer,1
src/fat/play/ja-JP/listing/title,1
attribute,2
extern/openkeychain-api-lib,1
app/src/main/assets/x86/app_process_xposed_sdk15,1
lgtm,1
app/src/main/assets/x86/app_process_xposed_sdk16,1
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/8loNU_rpPytU4NLB9p1hK+WXuNM=,1
flat,5
6-java/activator,1
third_party/disklrucache,1
PROPIETARY,1
external/iptables/INSTALL,1
debian/rules,1
npmignore,1
Resources/graphics/ic_launcher/COPYING,1
x/paperparcel/package-list,1
tools/wpconfig,1
dex,9
src/fat/play/en-UK/whatsnew,1
mf,1
smartyoutubetv/src/main/assets/xwalk-command-line,1
aFWall/src/main/res/raw/afwallstart,1
dep,1
setup,3
ring_trust,27
mklist,1
extern/AppMsg,1
atlas-gradle-plugin/atlas-plugin/tasks,1
external/iptables/compile,1
example,5
NOTICE,4
src/fat/play/sl/listing/fulldescription,1
xcf,20
providers,1
lock,33
6-scala/README,1
src/fat/play/sr/listing/fulldescription,1
src/fat/play/ja-JP/listing/fulldescription,1
COPYING,1
xcworkspacedata,7
findbugs-android-exclude,1
plist,5
extern/zxing-qr-code,1
external/dist/busybox-defconfig,1
extern/StickyListHeaders,1
src/fat/play/ru-RU/listing/fulldescription,1
feature,2
1,6
sig,31
buckconfig,2
csv,11
config,1
woff,2
document-viewer/jni/mupdf/freetype/ChangeLog,1
src/fat/play/sl/listing/title,1
map,1
aFWall/src/main/res/raw/iptables_arm,1
License,1
app/src/main/assets/xposed_init,1
OpenKeychain/src/test/resources/test-keys/cooperpair/readme,1
libraries/libonionkit,1
script/bootstrap,1
bks,1
src/fat/play/pl-PL/listing/shortdescription,1
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/PEI8PEFXVJH3OWYHNnp2gqxsdZk=,1
proto,6
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/w9TPWw9PE7gF9lTUwD0PE2O8CYg=,1
_drawable-xxhdpi,1
assets/x86/app_process_xposed_sdk15,1
assets/x86/app_process_xposed_sdk16,1
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/tvihn6Ci54CNSgN895MVCkXRqRI=,1
aFWall/src/main/res/raw/klogripper_x86,1
Dockerfile-jdk8,1
com/syncthing/syncthing,3
src/fat/play/en-UK/listing/video,1
jpeg,7
filters,1
vms,2
tightdb_jni/Makefile,1
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/9w0uzPnixGH1+P+aIFYAMAXRsws=,1
li,1
git-id,4
LICENCE,1
Screengrabfile,1
libs/networking/libs/wpcomrest/LICENSE-GPL,1
docx,1
Mifare Classic Tool/doc/Doxyfile,1
aep,3
library/src/main/res/values/library_mpandroidchart_strings,1
timestamp,2
assets/arm/app_process_xposed_sdk16,1
LIBRARIES,1
p12,1
cer,1
Plumble/libraries/Jumble,1
external/iptables/extensions/create_initext4,1
document-viewer/jni/jpeg/Makefile,1
actionbarsherlock,3
storyboard,5
name,34
aFWall/src/main/res/raw/busybox_mips,1
libs/graphview,1
tools/build-beta,1
realm/realm-library/src/androidTest/assets/ios/README,1
xls,1
cvsignore,1
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/gvBoDCWPspoowqYzxZB3yhviRTI=,1
atlas-gradle-plugin/aapt/src/main/resources/aapt/mac/aapt,1
app/src/main/assets/copyright,1
xcscheme,1
todo,1
android-studio/OpenSLMediaPlayer/signing/README,1
rs,3
smartyoutubetv/src/main/assets/xwalk-command-line-bak,1
AGPL,1
document-viewer/jni/jpeg/README,1
res/raw/nflog_arm,1
rb,16
ios/tutorials/tutorial4/Podfile,1
src/fat/play/contactWebsite,1
ftl,50
tmpl,1
AppLog/Note,1
sbt,6
document-viewer/jni/jpeg/depcomp,1
app/src/main/res/raw/large,1
mms,1
org,1
external/iptables/COPYING,1
asm,1
md5,3
realm/realm-library/src/main/cpp/object-store,1
pairs,1
extern/safeslinger-exchange,1
BUCK,1
configuration-apks/NOTICE,1
src/fat/play/pt-PT/listing/title,1
