key,value
LICENSE,42
classpath,221
pro,288
gradlew,101
jpg,473
apk,87
svg,236
cs,230
txt,439
ttf,185
gitignore,404
xml,22409
java,47237
aidl,74
zip,13
yaml,72
hpp,59
jar,631
iml,190
class,349
gif,139
json,381
html,569
graphql,90
yml,478
css,74
keystore,18
CONTRIBUTORS,2
aar,76
c,306
js,248
swift,98
properties,869
png,14722
groovy,664
md,1282
bat,84
h,799
gnucash,6
mk,52
gradle,2918
project,54
sh,193
so,149
kt,576
cpp,214
