key,value
LICENSE,51
classpath,297
pro,425
gradlew,127
jpg,1631
apk,295
svg,281
cs,821
txt,1091
ttf,218
gitignore,632
xml,61056
java,158989
aidl,111
zip,17
yaml,136
hpp,180
jar,868
iml,534
class,350
gif,202
json,640
html,822
graphql,92
yml,1347
css,146
keystore,23
CONTRIBUTORS,12
aar,173
c,582
js,626
swift,120
properties,1815
png,19606
groovy,1535
md,5117
bat,120
h,1392
gnucash,6
mk,171
gradle,10523
project,68
sh,518
so,215
kt,935
cpp,785
